# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# t rʲ í j e r	t rʲ í j e r a
# t rʲ í sʲ e lʲ	t rʲ í sʲ e lʲ a
# t rʲ ú m	t rʲ ú m a
# t rʲ ú m sʲ e lʲ	t rʲ ú m sʲ e lʲ a
# t u r k mʲ é n	t u r k mʲ é n a
# t u ʃ í n	t u ʃ í n a
# u j g ú r	u j g ú r a
# u l á n	u l á n a
# f rʲ é zʲ e r	f rʲ é zʲ e r a
# xʲ e v s ú r	xʲ e v s ú r a
# x o l o dʲ í ʃʃʲ e	x o l o dʲ í ʃʃʲ i
# ʦ a x ú r	ʦ a x ú r a
# ʧʲ á d	ʧʲ á d a
# ʧʲ á j	ʧʲ á j a
# ʧʲ í zʲ e lʲ	ʧʲ í zʲ e lʲ a
# ʃ á bʲ e r	ʃ á bʲ e r a
# ʃ ó l k	ʃ ó l k a
# ʃ kʲ é n tʲ e lʲ	ʃ kʲ é n tʲ e lʲ a
# ʃ p á tʲ e lʲ	ʃ p á tʲ e lʲ a
# ʃ p á x tʲ e lʲ	ʃ p á x tʲ e lʲ a
# ʃ pʲ í n dʲ e lʲ	ʃ pʲ í n dʲ e lʲ a
# ʃ tʲ í xʲ e lʲ	ʃ tʲ í xʲ e lʲ a
# j a n i ʧʲ á r	j a n i ʧʲ á r a
# g l ú ʃ	g l u ʃ í
# g r ó b	g r o b á
# k ú m ʒ a	k ú m ʒ i
# k ʃ á t rʲ i j a	k ʃ á t rʲ i j i
# p á rʲ i j a	p á rʲ i j i
# r a s tʲ é rʲ a	r a s tʲ é rʲ i
# s ó nʲ a	s ó nʲ i
# m á j j a	m á j j i
# m á k	m á k a
# m a k á k a	m a k á kʲ i
# m a k a r ó nʲ i n a	m a k a r ó nʲ i n i
# m a kʲ e d ó n k a	m a kʲ e d ó n kʲ i
# m a kʲ é t ʧʲ i ʦ a	m a kʲ é t ʧʲ i ʦ i
# m a kʲ í t r a	m a kʲ í t r i
# m á k kʲ i j a	m á k kʲ i j i
# m a k l á ʧʲ k a	m a k l á ʧʲ kʲ i
# m á k o vʲ i n a	m á k o vʲ i n i
# m á k o vʲ i ʦ a	m á k o vʲ i ʦ i
# m á k o v k a	m á k o v kʲ i
# m a k r o kʲ e f á lʲ i j a	m a k r o kʲ e f á lʲ i j i
# m à k r o m o lʲ é k u l a	m à k r o m o lʲ é k u l i
# m à k r o s p ó r a	m à k r o s p ó r i
# m à k r o s t r u k t ú r a	m à k r o s t r u k t ú r i
# m à k r o f o t o g r á fʲ i j a	m à k r o f o t o g r á fʲ i j i
# m a k r o f ò t o s j ó m k a	m a k r o f o t o s j ó m kʲ i
# m a k r o ʦ e f á lʲ i j a	m a k r o ʦ e f á lʲ i j i
# m á k s a	m á k s i
# m á k sʲ i m a	m á k sʲ i m i
# m a k sʲ i m a lʲ í s t k a	m a k sʲ i m a lʲ í s t kʲ i
# m à k sʲ i - j ú b k a	m à k sʲ i - j ú b kʲ i
# m a k u l a t ú r a	m a k u l a t ú r i
# m a k ú x a	m a k ú xʲ i
# m a k ú ʃ k a	m a k ú ʃ kʲ i
# m a l á g a	m a l á gʲ i
# m a l á j k a	m a l á j kʲ i
# m a l a k o l ó gʲ i j a	m a l a k o l ó gʲ i j i
# m a l á ʃ e ʧʲ k a	m a l á ʃ e ʧʲ kʲ i
# m a lʲ í n a	m a lʲ í n i
# m a lʲ í n k a	m a lʲ í n kʲ i
# m a lʲ í n o v k a	m a lʲ í n o v kʲ i
# m a lʲ í n o v k a	m a lʲ í n o v kʲ i
# m á lʲ i ʦ a	m á lʲ i ʦ i
# m á l k a	m á l kʲ i
# m a l lʲ e j i nʲ i z á ʦ i j a	m a l lʲ e j i nʲ i z á ʦ i j i
# m a l o vʲ é r k a	m a l o vʲ é r kʲ i
# m a l o d ó j k a	m a l o d ó j kʲ i
# m a l o lʲ é t k a	m a l o lʲ é t kʲ i
# m a l o lʲ i t r á ʒ k a	m a l o lʲ i t r á ʒ kʲ i
# m a l o mʲ é r k a	m a l o mʲ é r kʲ i
# m a l o r o s sʲ i j á n k a	m a l o r o s sʲ i j á n kʲ i
# m a l o r ó s s k a	m a l o r ó s s kʲ i
# m a l í ʃ k a	m a l í ʃ kʲ i
# m a l i ʃ nʲ á	m a l i ʃ nʲ í
# m á lʲ v a	m á lʲ v i
# m a lʲ v á zʲ i j a	m a lʲ v á zʲ i j i
# m a lʲ t ó z a	m a lʲ t ó z i
# m a lʲ ʧʲ í ʃ e ʧʲ k a	m a lʲ ʧʲ í ʃ e ʧʲ kʲ i
# m a lʲ ʧʲ í ʃ k a	m a lʲ ʧʲ í ʃ kʲ i
# m a lʲ ʧʲ ó n k a	m a lʲ ʧʲ ó n kʲ i
