# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# l ù ʧʲ e j i s p u s k á nʲ i j e	l ù ʧʲ e j i s p u s k á nʲ i j a
# l u ʧʲ é nʲ i j e	l u ʧʲ é nʲ i j a
# l ù ʧʲ e p rʲ e l o m lʲ é nʲ i j e	l ù ʧʲ e p rʲ e l o m lʲ é nʲ i j a
# l ú ʧʲ i k	l ú ʧʲ i k a
# l u ʧʲ í s t o s tʲ	l u ʧʲ í s t o s tʲ i
# l ú ʧʲ nʲ i k	l ú ʧʲ nʲ i k a
# l u ʧʲ ó k	l u ʧʲ k á
# l u ʃʃʲ é nʲ i j e	l u ʃʃʲ é nʲ i j a
# l u ʃʃʲ í l o	l u ʃʃʲ í l a
# l u ʃʃʲ í lʲ nʲ i k	l u ʃʃʲ í lʲ nʲ i k a
# l í ʒ nʲ i k	l í ʒ nʲ i k a
# l í k o	l í k a
# l i k o dʲ ó r	l i k o dʲ ó r a
# l i s ú n	l i s u n á
# l í s i j	l í s o g o
# l í ʧʲ k o	l í ʧʲ k a
# lʲ vʲ ó n o k	lʲ vʲ ó n k a
# lʲ vʲ á t nʲ i k	lʲ vʲ á t nʲ i k a
# lʲ g ó t nʲ i k	lʲ g ó t nʲ i k a
# lʲ d ò o b r a z o v á nʲ i j e	lʲ d ò o b r a z o v á nʲ i j a
# lʲ n o v ó d	lʲ n o v ó d a
# lʲ n o v ó d s t v o	lʲ n o v ó d s t v a
# lʲ n ò v o l o k n ó	lʲ n o v o l o k n á
# lʲ n ò z a v ó d	lʲ n ò z a v ó d a
# lʲ n ò k o m b á j n	lʲ n ò k o m b á j n a
# lʲ n ò k o m bʲ i n á t	lʲ n ò k o m bʲ i n á t a
# lʲ n ò p rʲ a dʲ í lʲ ʃʃʲ i k	lʲ n ò p rʲ a dʲ í lʲ ʃʃʲ i k a
# lʲ n ò sʲ é mʲ a	lʲ n ò sʲ é mʲ e nʲ i
# lʲ n ò s o v x ó z	lʲ n ò s o v x ó z a
# lʲ n ò tʲ e rʲ e bʲ í lʲ ʃʃʲ i k	lʲ n ò tʲ e rʲ e bʲ í lʲ ʃʃʲ i k a
# lʲ s tʲ é ʦ	lʲ s tʲ e ʦ á
# lʲ s tʲ í v o s tʲ	lʲ s tʲ í v o s tʲ i
# lʲ j á l o	lʲ j á l a
# lʲ u b vʲ e o bʲ í lʲ n o s tʲ	lʲ u b vʲ e o bʲ í lʲ n o s tʲ i
# lʲ u bʲ é z nʲ i k	lʲ u bʲ é z nʲ i k a
# lʲ u bʲ é z n o s tʲ	lʲ u bʲ é z n o s tʲ i
# lʲ u bʲ í mʲ e ʦ	lʲ u bʲ í m ʦ a
# lʲ u bʲ í m ʧʲ i k	lʲ u bʲ í m ʧʲ i k a
# lʲ u bʲ í m i j	lʲ u bʲ í m o g o
# lʲ u bʲ í s t o k	lʲ u bʲ í s t k a
# lʲ u bʲ í tʲ e lʲ	lʲ u bʲ í tʲ e lʲ a
# lʲ u bʲ í tʲ e lʲ s t v o	lʲ u bʲ í tʲ e lʲ s t v a
# lʲ u b o v á nʲ i j e	lʲ u b o v á nʲ i j a
# lʲ u b ó v nʲ i k	lʲ u b ó v nʲ i k a
# lʲ u b ó vʲ	lʲ u b vʲ í
# lʲ u b o dʲ e j á nʲ i j e	lʲ u b o dʲ e j á nʲ i j a
# lʲ u b o z n á tʲ e lʲ n o s tʲ	lʲ u b o z n á tʲ e lʲ n o s tʲ i
# lʲ u b o m ú d r	lʲ u b o m ú d r a
# lʲ u b o m ú d rʲ i j e	lʲ u b o m ú d rʲ i j a
# lʲ u b o p í t n i j	lʲ u b o p í t n o g o
# lʲ u b o p í t s t v o	lʲ u b o p í t s t v a
# lʲ u b o s tʲ a ʒ á nʲ i j e	lʲ u b o s tʲ a ʒ á nʲ i j a
# lʲ ú vʲ e r s	lʲ ú vʲ e r s a
# lʲ ú d	lʲ ú d a
# lʲ ú d n o s tʲ	lʲ ú d n o s tʲ i
# lʲ u d o j é d	lʲ u d o j é d a
# lʲ u d o j é d s t v o	lʲ u d o j é d s t v a
# lʲ u j i zʲ í t	lʲ u j i zʲ í t a
# lʲ ú k	lʲ ú k a
# lʲ u k o v ó j	lʲ u k o v ó g o
# lʲ ú k s	lʲ ú k s a
# lʲ u k s mʲ é t r	lʲ u k s mʲ é t r a
# lʲ u lʲ à - kʲ e b á b	lʲ u lʲ à - kʲ e b á b a
# lʲ ú mʲ e n	lʲ ú mʲ e n a
# lʲ u mʲ e n o t r ó p	lʲ u mʲ e n o t r ó p a
# lʲ u mʲ i n á l	lʲ u mʲ i n á l a
# lʲ u mʲ i n ó g r a f	lʲ u mʲ i n ó g r a f a
# lʲ u mʲ i n o f ó r	lʲ u mʲ i n o f ó r a
# lʲ ù m pʲ e n - p r o lʲ e t a rʲ i á t	lʲ ù m pʲ e n - p r o lʲ e t a rʲ i á t a
# lʲ u nʲ é t	lʲ u nʲ é t a
# lʲ u pʲ í n	lʲ u pʲ í n a
# lʲ ú p u s	lʲ ú p u s a
# lʲ u s t rʲ í n	lʲ u s t rʲ í n a
# lʲ u tʲ e r á nʲ i n	lʲ u tʲ e r á nʲ i n a
# lʲ u tʲ e r á n s t v o	lʲ u tʲ e r á n s t v a
# lʲ u tʲ é ʦ i j	lʲ u tʲ é ʦ i j a
# lʲ ú tʲ i k	lʲ ú tʲ i k a
# lʲ ú tʲ i ʧʲ	lʲ ú tʲ i ʧʲ a
# lʲ u t nʲ í s t	lʲ u t nʲ í s t a
# lʲ ú t o s tʲ	lʲ ú t o s tʲ i
# lʲ ú f t	lʲ ú f t a
# lʲ ú e s	lʲ ú e s a
# lʲ a g u ʃ á t nʲ i k	lʲ a g u ʃ á t nʲ i k a
# lʲ a g ú ʃ e ʧʲ nʲ i k	lʲ a g ú ʃ e ʧʲ nʲ i k a
# lʲ a g ú ʃ nʲ i k	lʲ a g ú ʃ nʲ i k a
# lʲ a g u ʃ ó n o k	lʲ a g u ʃ ó n k a
# lʲ á d	lʲ á d a
# lʲ á pʲ i s	lʲ á pʲ i s a
# lʲ à pʲ i s - l a z ú rʲ	lʲ à pʲ i s - l a z ú rʲ i
# lʲ á p s u s	lʲ á p s u s a
# lʲ á r d	lʲ á r d a
# lʲ á x	lʲ á x a
# m a v z o lʲ é j	m a v z o lʲ é j a
# m á v r	m á v r a
# m á g	m á g a
# m a g a zʲ í n	m a g a zʲ í n a
# m a g a zʲ í n ʧʲ i k	m a g a zʲ í n ʧʲ i k a
# m a g a zʲ í n ʃʃʲ i k	m a g a zʲ í n ʃʃʲ i k a
# m a g a r í ʧʲ	m a g a r i ʧʲ á
# m a gʲ í z m	m a gʲ í z m a
# m a gʲ í s tʲ e r s t v o	m a gʲ í s tʲ e r s t v a
# m a gʲ í s t r	m a gʲ í s t r a
# z a k ú t o k	z a k ú t k a
# z á l	z á l a
# z a l á v o k	z a l á v k a
# z a lʲ e g á nʲ i j e	z a lʲ e g á nʲ i j a
# z a lʲ ó ʒ i v a nʲ i j e	z a lʲ ó ʒ i v a nʲ i j a
# z á lʲ e ʒ	z á lʲ e ʒ i
# z a lʲ é sʲ j e	z a lʲ é sʲ j a
# z a lʲ ó t	z a lʲ ó t a
# z a lʲ í v	z a lʲ í v a
# z a lʲ i v á nʲ i j e	z a lʲ i v á nʲ i j a
# z a lʲ í vʲ i s t o s tʲ	z a lʲ í vʲ i s t o s tʲ i
# z a lʲ í v ʧʲ i k	z a lʲ í v ʧʲ i k a
# z a lʲ í v ʃʃʲ i k	z a lʲ í v ʃʃʲ i k a
# z a lʲ í z	z a lʲ í z a
# z a lʲ í z i v a nʲ i j e	z a lʲ í z i v a nʲ i j a
# z á l o	z á l a
# z a l ó g	z a l ó g a
# z a l ò g o d á tʲ e lʲ	z a l ò g o d á tʲ e lʲ a
# z a l ò g o dʲ e r ʒ á tʲ e lʲ	z a l ò g o dʲ e r ʒ á tʲ e lʲ a
# z a l o ʒ é nʲ i j e	z a l o ʒ é nʲ i j a
# z a l ó ʒ nʲ i k	z a l ó ʒ nʲ i k a
# z a l ó m	z a l ó m a
# z a l ó m	z a l ó m a
# z á l p	z á l p a
# z á m	z á m a
# z a m á lʲ i v a nʲ i j e	z a m á lʲ i v a nʲ i j a
# z a m á l ʧʲ i v a nʲ i j e	z a m á l ʧʲ i v a nʲ i j a
# z a m á nʲ i v a nʲ i j e	z a m á nʲ i v a nʲ i j a
# z a m á n ʧʲ i v o s tʲ	z a m á n ʧʲ i v o s tʲ i
# z a m á s lʲ i v a nʲ i j e	z a m á s lʲ i v a nʲ i j a
# z a m á x	z a m á x a
# z a m á ʧʲ i v a nʲ i j e	z a m á ʧʲ i v a nʲ i j a
# z a mʲ e d lʲ é nʲ i j e	z a mʲ e d lʲ é nʲ i j a
# z a mʲ é d lʲ e n n o s tʲ	z a mʲ é d lʲ e n n o s tʲ i
# z a mʲ e d lʲ í tʲ e lʲ	z a mʲ e d lʲ í tʲ e lʲ a
# z a mʲ e nʲ í m o s tʲ	z a mʲ e nʲ í m o s tʲ i
# z a mʲ e nʲ í tʲ e lʲ	z a mʲ e nʲ í tʲ e lʲ a
# z a mʲ é r	z a mʲ é r a
# z a mʲ e r z á nʲ i j e	z a mʲ e r z á nʲ i j a
# z a mʲ é r ʃʃʲ i k	z a mʲ é r ʃʃʲ i k a
# z a mʲ é s	z a mʲ é s a
# z a mʲ e s tʲ í tʲ e lʲ	z a mʲ e s tʲ í tʲ e lʲ a
# z a mʲ e s tʲ í tʲ e lʲ s t v o	z a mʲ e s tʲ í tʲ e lʲ s t v a
# z a mʲ ó t	z a mʲ ó t a
# z a mʲ e t á nʲ i j e	z a mʲ e t á nʲ i j a
# z a mʲ e ʧʲ á nʲ i j e	z a mʲ e ʧʲ á nʲ i j a
# z a mʲ e ʃ á tʲ e lʲ s t v o	z a mʲ e ʃ á tʲ e lʲ s t v a
# z a mʲ e ʃʃʲ é nʲ i j e	z a mʲ e ʃʃʲ é nʲ i j a
# z a mʲ i r á nʲ i j e	z a mʲ i r á nʲ i j a
# z a mʲ i rʲ é nʲ i j e	z a mʲ i rʲ é nʲ i j a
# z á m k n u t o s tʲ	z á m k n u t o s tʲ i
# z á m o k	z á m k a
# z a m ó k	z a m k á
# z a m ó r	z a m ó r a
# z a m o r á ʒ i v a nʲ i j e	z a m o r á ʒ i v a nʲ i j a
# z á m o r o z o k	z á m o r o z k a
# z a m ó r i ʃ	z a m ó r i ʃ a
# z a m ó ʧʲ e k	z a m ó ʧʲ k a
# z a m ó ʧʲ nʲ i k	z a m ó ʧʲ nʲ i k a
# z a m o ʃʃʲ é nʲ i j e	z a m o ʃʃʲ é nʲ i j a
# z à m p o lʲ í t	z à m p o lʲ í t a
# z a m ú ʒ e s t v o	z a m ú ʒ e s t v a
# z a m u r ó v i v a nʲ i j e	z a m u r ó v i v a nʲ i j a
# z a m ú s o rʲ i v a nʲ i j e	z a m ú s o rʲ i v a nʲ i j a
# z a m i k á nʲ i j e	z a m i k á nʲ i j a
# z a m i k á j u ʃʃʲ i j	z a m i k á j u ʃʃʲ e g o
# z á m i sʲ e l	z á m i s l a
# z a m i s l o v á t o s tʲ	z a m i s l o v á t o s tʲ i
# z á n a vʲ e s	z á n a vʲ e s a
# z á n a vʲ e sʲ	z á n a vʲ e sʲ i
# z a n a vʲ é ʃ i v a nʲ i j e	z a n a vʲ é ʃ i v a nʲ i j a
# z a nʲ e sʲ é nʲ i j e	z a nʲ e sʲ é nʲ i j a
# z a nʲ i ʒ é nʲ i j e	z a nʲ i ʒ é nʲ i j a
# z a nʲ i m á tʲ e lʲ n o s tʲ	z a nʲ i m á tʲ e lʲ n o s tʲ i
# vʲ e nʲ é d	vʲ e nʲ é d a
# vʲ e nʲ é rʲ i k	vʲ e nʲ é rʲ i k a
# vʲ e nʲ e r ó l o g	vʲ e nʲ e r ó l o g a
# vʲ e nʲ e s u é lʲ e ʦ	vʲ e nʲ e s u é lʲ ʦ a
# vʲ e nʲ é t	vʲ e nʲ é t a
# vʲ é nʲ e ʦ	vʲ é n ʦ a
# vʲ e nʲ é ʦ	vʲ e n ʦ á
# vʲ e nʲ e ʦ i á nʲ e ʦ	vʲ e nʲ e ʦ i á n ʦ a
# vʲ e nʲ é ʧʲ nʲ i k	vʲ e nʲ é ʧʲ nʲ i k a
# vʲ e n zʲ e lʲ ó k	vʲ e n zʲ e lʲ k á
# vʲ é n zʲ e lʲ	vʲ é n zʲ e lʲ a
# vʲ é nʲ i k	vʲ é nʲ i k a
# vʲ é nʲ i ʧʲ e k	vʲ é nʲ i ʧʲ k a
# vʲ é n o	vʲ é n a
# vʲ e n ó k	vʲ e n k á
# vʲ e n ó ʧʲ e k	vʲ e n ó ʧʲ k a
# vʲ é n tʲ e r ʃʃʲ i k	vʲ é n tʲ e r ʃʃʲ i k a
# vʲ e n tʲ i lʲ í r o v a nʲ i j e	vʲ e n tʲ i lʲ í r o v a nʲ i j a
# vʲ é n tʲ i lʲ	vʲ é n tʲ i lʲ a
# vʲ e n tʲ i lʲ á t o r	vʲ e n tʲ i lʲ á t o r a
# vʲ e n ʦ e n ó sʲ e ʦ	vʲ e n ʦ e n ó s ʦ a
# vʲ e n ʧʲ á nʲ i j e	vʲ e n ʧʲ á nʲ i j a
# vʲ é n ʧʲ i k	vʲ é n ʧʲ i k a
# vʲ é p rʲ	vʲ é p rʲ a
# vʲ é p s	vʲ é p s a
# vʲ e r a s k ó p	vʲ e r a s k ó p a
# vʲ e r bʲ é j nʲ i k	vʲ e r bʲ é j nʲ i k a
# vʲ e r b lʲ ú d	vʲ e r b lʲ ú d a
# vʲ e r b lʲ u d o v ó d s t v o	vʲ e r b lʲ u d o v ó d s t v a
# vʲ e r b lʲ u ʒ á t nʲ i k	vʲ e r b lʲ u ʒ á t nʲ i k a
# vʲ e r b lʲ u ʒ ó n o k	vʲ e r b lʲ u ʒ ó n k a
# vʲ e r b nʲ á k	vʲ e r b nʲ a k á
# vʲ e r b o v á nʲ i j e	vʲ e r b o v á nʲ i j a
# vʲ e r b ó v ʃʃʲ i k	vʲ e r b ó v ʃʃʲ i k a
# vʲ é r vʲ i j e	vʲ é r vʲ i j a
# vʲ é r vʲ	vʲ é r vʲ i
# vʲ e r dʲ í k t	vʲ e r dʲ í k t a
# vʲ e rʲ ó v o ʧʲ nʲ i k	vʲ e rʲ ó v o ʧʲ nʲ i k a
# vʲ é rʲ e d	vʲ é rʲ e d a
# vʲ e rʲ e z ʒ á nʲ i j e	vʲ e rʲ e z ʒ á nʲ i j a
# vʲ é rʲ e s	vʲ é rʲ e s a
# vʲ e rʲ e tʲ é n nʲ i k	vʲ e rʲ e tʲ é n nʲ i k a
# vʲ e rʲ e tʲ e n ó	vʲ e rʲ e tʲ e n á
# vʲ e rʲ e tʲ ó n ʃʃʲ i k	vʲ e rʲ e tʲ ó n ʃʃʲ i k a
# vʲ e rʲ é tʲ j e	vʲ e rʲ é tʲ j a
# vʲ e rʲ e ʃʃ á nʲ i j e	vʲ e rʲ e ʃʃ á nʲ i j a
# vʲ e rʲ í z m	vʲ e rʲ í z m a
# vʲ e rʲ í tʲ e lʲ	vʲ e rʲ í tʲ e lʲ a
# vʲ é r m a x t	vʲ é r m a x t a
# vʲ e r mʲ i k u lʲ í t	vʲ e r mʲ i k u lʲ í t a
# vʲ e r mʲ i lʲ ó n	vʲ e r mʲ i lʲ ó n a
# vʲ e r mʲ i ʃ é lʲ	vʲ e r mʲ i ʃ é lʲ i
# vʲ e r nʲ i s á ʒ	vʲ e r nʲ i s á ʒ a
# vʲ e r n o p ó d d a n n o s tʲ	vʲ e r n o p ó d d a n n o s tʲ i
# vʲ e r n o p ó d d a n n i j	vʲ e r n o p ó d d a n n o g o
# vʲ e r n o p ó d d a n s t v o	vʲ e r n o p ó d d a n s t v a
# vʲ é r n o s tʲ	vʲ é r n o s tʲ i
# vʲ e r nʲ j é r	vʲ e r nʲ j é r a
# vʲ é r o v a nʲ i j e	vʲ é r o v a nʲ i j a
# vʲ è r o j i s p o vʲ é d a nʲ i j e	vʲ è r o j i s p o vʲ é d a nʲ i j a
# vʲ e r o l ó m n o s tʲ	vʲ e r o l ó m n o s tʲ i
# vʲ e r o l ó m s t v o	vʲ e r o l ó m s t v a
# vʲ e r o n á l	vʲ e r o n á l a
# vʲ e r o o t s t ú p nʲ i k	vʲ e r o o t s t ú p nʲ i k a
# vʲ e r o o t s t ú p nʲ i ʧʲ e s t v o	vʲ e r o o t s t ú p nʲ i ʧʲ e s t v a
# vʲ e r o p o d ó bʲ i j e	vʲ e r o p o d ó bʲ i j a
# vʲ e r o tʲ e r pʲ í m o s tʲ	vʲ e r o tʲ e r pʲ í m o s tʲ i
# vʲ e r o u ʧʲ é nʲ i j e	vʲ e r o u ʧʲ é nʲ i j a
# vʲ e r o u ʧʲ í tʲ e lʲ	vʲ e r o u ʧʲ í tʲ e lʲ a
# vʲ e r o j á tʲ i j e	vʲ e r o j á tʲ i j a
# vʲ e r o j á t n o s tʲ	vʲ e r o j á t n o s tʲ i
# vʲ é r p	vʲ é r p a
# vʲ e r sʲ i fʲ i k á t o r	vʲ e r sʲ i fʲ i k á t o r a
# vʲ e r s t á k	vʲ e r s t a k á
# vʲ e r s t á lʲ ʃʃʲ i k	vʲ e r s t á lʲ ʃʃʲ i k a
# vʲ e r s t a ʧʲ ó k	vʲ e r s t a ʧʲ k á
# vʲ é r tʲ e l	vʲ é r tʲ e l a
# vʲ e r tʲ é p	vʲ e r tʲ é p a
# vʲ e r tʲ é p nʲ i k	vʲ e r tʲ é p nʲ i k a
# vʲ e r tʲ i k á l	vʲ e r tʲ i k á l a
# vʲ e r tʲ i k á lʲ	vʲ e r tʲ i k á lʲ i
# vʲ e r tʲ i k á lʲ n o s tʲ	vʲ e r tʲ i k á lʲ n o s tʲ i
# vʲ ó r t k o s tʲ	vʲ ó r t k o s tʲ i
# vʲ e r t lʲ ú g	vʲ e r t lʲ u g á
# vʲ e r t lʲ u ʒ ó k	vʲ e r t lʲ u ʒ k á
# vʲ e r t lʲ á v o s tʲ	vʲ e r t lʲ á v o s tʲ i
# vʲ e r t o g r á d	vʲ e r t o g r á d a
# vʲ e r t o d r ó m	vʲ e r t o d r ó m a
# vʲ e r t o lʲ ó t	vʲ e r t o lʲ ó t a
# vʲ e r t o lʲ ó t ʧʲ i k	vʲ e r t o lʲ ó t ʧʲ i k a
# vʲ e r t o p r á x	vʲ e r t o p r á x a
# vʲ e r t o p r á ʃ e s t v o	vʲ e r t o p r á ʃ e s t v a
# vʲ e r t ú n	vʲ e r t u n á
# vʲ e r t ú n	vʲ e r t u n á
# vʲ é r u j u ʃʃʲ i j	vʲ é r u j u ʃʃʲ e g o
# vʲ é r fʲ	vʲ é r fʲ i
# vʲ e r x o vʲ é n s t v o	vʲ e r x o vʲ é n s t v a
# vʲ e r x ó v n o s tʲ	vʲ e r x ó v n o s tʲ i
# vʲ e r x o v ó d	vʲ e r x o v ó d a
# vʲ e r x o v ó j	vʲ e r x o v ó g o
# vʲ e r x o g lʲ á d	vʲ e r x o g lʲ á d a
# vʲ e r x o g lʲ á d s t v o	vʲ e r x o g lʲ á d s t v a
# vʲ e r x o k ó n n i j	vʲ e r x o k ó n n o g o
# vʲ e r x o l á z	vʲ e r x o l á z a
# vʲ e r ʧʲ é nʲ i j e	vʲ e r ʧʲ é nʲ i j a
# vʲ e r ʃ í n nʲ i k	vʲ e r ʃ í n nʲ i k a
# vʲ e r ʃ í tʲ e lʲ	vʲ e r ʃ í tʲ e lʲ a
# vʲ é r ʃ nʲ i k	vʲ é r ʃ nʲ i k a
# vʲ e r ʃ ó k	vʲ e r ʃ k á
# vʲ é s	vʲ é s a
# vʲ e sʲ ó l o s tʲ	vʲ e sʲ ó l o s tʲ i
# vʲ e sʲ é lʲ j e	vʲ e sʲ é lʲ j a
# vʲ e sʲ e lʲ ʧʲ á k	vʲ e sʲ e lʲ ʧʲ a k á
# vʲ é s k o s tʲ	vʲ é s k o s tʲ i
# vʲ e s lʲ í ʃʃʲ e	vʲ e s lʲ í ʃʃ a
# vʲ e s l ó	vʲ e s l á
# vʲ e s o v ʃʃʲ í k	vʲ e s o v ʃʃʲ i k á
# vʲ e s ó m o s tʲ	vʲ e s ó m o s tʲ i
# vʲ é s t	vʲ é s t a
# vʲ e s t g ó t	vʲ e s t g ó t a
# vʲ é s tʲ e r n	vʲ é s tʲ e r n a
# vʲ e s tʲ i bʲ ú lʲ	vʲ e s tʲ i bʲ ú lʲ a
# vʲ é s t nʲ i k	vʲ é s t nʲ i k a
# vʲ é s t nʲ i k	vʲ é s t nʲ i k a
# vʲ e s t o v ó j	vʲ e s t o v ó g o
# vʲ e s t o v ʃʃʲ í k	vʲ e s t o v ʃʃʲ i k á
# vʲ é s tʲ	vʲ é s tʲ i
# vʲ e t vʲ í s t o s tʲ	vʲ e t vʲ í s t o s tʲ i
# vʲ e t v lʲ é nʲ i j e	vʲ e t v lʲ é nʲ i j a
# vʲ è t v r á ʧʲ	vʲ e t v r a ʧʲ á
# vʲ é t vʲ	vʲ é t vʲ i
# vʲ e tʲ e r á n	vʲ e tʲ e r á n a
# vʲ e tʲ e r á n s t v o	vʲ e tʲ e r á n s t v a
# vʲ e tʲ e rʲ i n á r	vʲ e tʲ e rʲ i n á r a
# vʲ e tʲ e r ó k	vʲ e tʲ e r k á
# vʲ è t n a d z ó r	vʲ è t n a d z ó r a
# vʲ e t ó ʃ nʲ i k	vʲ e t ó ʃ nʲ i k a
# vʲ e t ó ʃ nʲ i ʧʲ e s t v o	vʲ e t ó ʃ nʲ i ʧʲ e s t v a
# vʲ é t o ʃ	vʲ é t o ʃ i
# vʲ è t p ú n k t	vʲ è t p ú n k t a
# vʲ é t rʲ e nʲ i k	vʲ é t rʲ e nʲ i k a
# vʲ é t rʲ e n o s tʲ	vʲ é t rʲ e n o s tʲ i
# vʲ e t rʲ í l o	vʲ e t rʲ í l a
# vʲ e t r o b ó j	vʲ e t r o b ó j a
# vʲ e t r o v á l	vʲ e t r o v á l a
# vʲ e t r o g ó n	vʲ e t r o g ó n a
# vʲ e t r o g ó n	vʲ e t r o g ó n a
# vʲ è t r o d vʲ í g a tʲ e lʲ	vʲ è t r o d vʲ í g a tʲ e lʲ a
# vʲ e t r o l ó m	vʲ e t r o l ó m a
# vʲ e t r o mʲ é r	vʲ e t r o mʲ é r a
# bʲ e s p rʲ i s t r á s tʲ i j e	bʲ e s p rʲ i s t r á s tʲ i j a
# bʲ e s p rʲ i s t r á s t n o s tʲ	bʲ e s p rʲ i s t r á s t n o s tʲ i
# bʲ e s p rʲ i tʲ a z á tʲ e lʲ n o s tʲ	bʲ e s p rʲ i tʲ a z á tʲ e lʲ n o s tʲ i
# bʲ e s p rʲ i ʧʲ í n n o s tʲ	bʲ e s p rʲ i ʧʲ í n n o s tʲ i
# bʲ e s p rʲ i j ú t n o s tʲ	bʲ e s p rʲ i j ú t n o s tʲ i
# bʲ e s p r o s vʲ é t n o s tʲ	bʲ e s p r o s vʲ é t n o s tʲ i
# bʲ e s p ú t nʲ i k	bʲ e s p ú t nʲ i k a
# bʲ e s p ú t s t v o	bʲ e s p ú t s t v a
# bʲ e s p ú tʲ j e	bʲ e s p ú tʲ j a
# bʲ e s s vʲ á z n o s tʲ	bʲ e s s vʲ á z n o s tʲ i
# bʲ e s sʲ e z ó nʲ j e	bʲ e s sʲ e z ó nʲ j a
# bʲ e s sʲ e mʲ e r o v á nʲ i j e	bʲ e s sʲ e mʲ e r o v á nʲ i j a
# bʲ e s sʲ e r dʲ é ʧʲ i j e	bʲ e s sʲ e r dʲ é ʧʲ i j a
# bʲ e s sʲ e r dʲ é ʧʲ n o s tʲ	bʲ e s sʲ e r dʲ é ʧʲ n o s tʲ i
# bʲ e s sʲ í lʲ i j e	bʲ e s sʲ í lʲ i j a
# bʲ e s sʲ i s tʲ é m n o s tʲ	bʲ e s sʲ i s tʲ é m n o s tʲ i
# bʲ e s s l á vʲ i j e	bʲ e s s l á vʲ i j a
# bʲ e s s l á v n o s tʲ	bʲ e s s l á v n o s tʲ i
# bʲ e s s l o vʲ é s n o s tʲ	bʲ e s s l o vʲ é s n o s tʲ i
# bʲ e s s mʲ é n n o s tʲ	bʲ e s s mʲ é n n o s tʲ i
# bʲ e s s mʲ é r tʲ i j e	bʲ e s s mʲ é r tʲ i j a
# bʲ e s s mʲ é r t nʲ i k	bʲ e s s mʲ é r t nʲ i k a
# bʲ e s s mʲ é r t n o s tʲ	bʲ e s s mʲ é r t n o s tʲ i
# bʲ e s s m í s lʲ e n n o s tʲ	bʲ e s s m í s lʲ e n n o s tʲ i
# bʲ e s s m í s lʲ i j e	bʲ e s s m í s lʲ i j a
# bʲ e s s nʲ é ʒ n o s tʲ	bʲ e s s nʲ é ʒ n o s tʲ i
# bʲ e s s nʲ é ʒ j e	bʲ e s s nʲ é ʒ j a
# bʲ e s s ó vʲ e s t n o s tʲ	bʲ e s s ó vʲ e s t n o s tʲ i
# bʲ e s s o dʲ e r ʒ á tʲ e lʲ n o s tʲ	bʲ e s s o dʲ e r ʒ á tʲ e lʲ n o s tʲ i
# bʲ e s s o z n á tʲ e lʲ n o s tʲ	bʲ e s s o z n á tʲ e lʲ n o s tʲ i
# bʲ e s s o s l ó v n o s tʲ	bʲ e s s o s l ó v n o s tʲ i
# bʲ e s s o j ú zʲ i j e	bʲ e s s o j ú zʲ i j a
# bʲ e s s p ó r n o s tʲ	bʲ e s s p ó r n o s tʲ i
# bʲ e s s rʲ é b rʲ e nʲ i k	bʲ e s s rʲ é b rʲ e nʲ i k a
# bʲ e s s r ó ʧʲ n o s tʲ	bʲ e s s r ó ʧʲ n o s tʲ i
# bʲ e s s t r á s tʲ i j e	bʲ e s s t r á s tʲ i j a
# bʲ e s s t r á s t n o s tʲ	bʲ e s s t r á s t n o s tʲ i
# bʲ e s s t r á ʃ i j e	bʲ e s s t r á ʃ i j a
# bʲ e s s t í d nʲ i k	bʲ e s s t í d nʲ i k a
# bʲ e s s t í d n o s tʲ	bʲ e s s t í d n o s tʲ i
# bʲ e s s t í d s t v o	bʲ e s s t í d s t v a
# bʲ e s sʲ u ʒ é t n o s tʲ	bʲ e s sʲ u ʒ é t n o s tʲ i
# bʲ é s t	bʲ é s t a
# bʲ e s t á k t n o s tʲ	bʲ e s t á k t n o s tʲ i
# bʲ e s t o v á rʲ j e	bʲ e s t o v á rʲ j a
# bʲ e s t o l k ó v o s tʲ	bʲ e s t o l k ó v o s tʲ i
# bʲ é s t o l o ʧʲ	bʲ é s t o l o ʧʲ i
# bʲ é s t o l o ʧʲ	bʲ é s t o l o ʧʲ i
# bʲ e s t rʲ é pʲ e t n o s tʲ	bʲ e s t rʲ é pʲ e t n o s tʲ i
# bʲ e s t sʲ é l lʲ e r	bʲ e s t sʲ é l lʲ e r a
# bʲ e s f ó r mʲ e n n o s tʲ	bʲ e s f ó r mʲ e n n o s tʲ i
# bʲ e s x a r á k tʲ e r n o s tʲ	bʲ e s x a r á k tʲ e r n o s tʲ i
# bʲ e s xʲ í t r o s t n o s tʲ	bʲ e s xʲ í t r o s t n o s tʲ i
# bʲ e s x lʲ é bʲ j e	bʲ e s x lʲ é bʲ j a
# bʲ e s x ó z n o s tʲ	bʲ e s x ó z n o s tʲ i
# bʲ e s x o zʲ á j s t vʲ e n n o s tʲ	bʲ e s x o zʲ á j s t vʲ e n n o s tʲ i
# bʲ e s x rʲ e bʲ é t n o s tʲ	bʲ e s x rʲ e bʲ é t n o s tʲ i
